ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C43461037,167,4G,A,,0,0,0.61998135,1,Cible Potentielle,0.0070662135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C8603_992,177,4G,A,,1,0,0.61998135,1,Cible Potentielle,0.0070662135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C4712_927,168,4G,A,,1,0,0.61998135,1,Cible Potentielle,0.0070662135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C4731_864,179,4G,A,,1,0,0.61998135,1,Cible Potentielle,0.0070662135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C92851007,169,4G,A,,0,0,0.61998135,1,Cible Potentielle,0.0070662135,0,Risque Faible,NURTURING — pack Combo Voix+Data
C07196497,13,4G,A,Reseau indirect,0,0,0.6199685,1,Cible Potentielle,0.038027223,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C02296495,13,4G,A,Reseau indirect,1,0,0.6199685,1,Cible Potentielle,0.038027223,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C87396483,13,4G,A,Reseau indirect,0,0,0.6199685,1,Cible Potentielle,0.047326762,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C69386483,13,4G,A,Reseau indirect,1,0,0.6199685,1,Cible Potentielle,0.047326762,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C59406670,5,,A,Reseau indirect,0,0,0.6199412,1,Cible Potentielle,0.12150438,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C57316637,6,4G,A,Reseau indirect,1,0,0.6198493,1,Cible Potentielle,0.026647279,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C62276261,21,4G,A,Reseau direct,0,0,0.6198451,1,Cible Potentielle,0.021099728,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C19016296,20,4G,A,Reseau direct,0,0,0.6198451,1,Cible Potentielle,0.021421121,0,Risque Moyen,NURTURING — pack Combo Voix+Data
