ID,ANC_M,HANDSET,STATUT,CLASSE_CANAL,TARGET,FLAG_CHURN,SCORE_FORFAIT,PRED_FORFAIT,SEGMENT_FORFAIT,SCORE_CHURN,PRED_CHURN,RISQUE_CHURN,ACTION_RECOMMANDEE
C34416540,11,4G,A,Reseau direct,0,0,0.62177414,1,Cible Potentielle,0.018991949,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C03936530,11,4G,A,Reseau direct,1,0,0.62177414,1,Cible Potentielle,0.018991949,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C41195708,35,4G,A,Reseau direct,1,0,0.6217695,1,Cible Potentielle,0.015287737,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C65226343,19,4G,A,Reseau direct,1,0,0.6217573,1,Cible Potentielle,0.021768816,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C51876334,19,4G,A,Reseau direct,1,0,0.6217573,1,Cible Potentielle,0.021768816,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C17876329,19,4G,A,Reseau direct,0,0,0.6217573,1,Cible Potentielle,0.021421121,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C27816682,4,4G,A,Reseau indirect,0,0,0.62175274,1,Cible Potentielle,0.028654499,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C86206320,20,,A,Reseau indirect,1,0,0.62174183,1,Cible Potentielle,0.13777477,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
C47136622,7,4G,A,Reseau direct,1,0,0.6216484,1,Cible Potentielle,0.018218657,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C84236443,15,4G,A,Reseau direct,0,0,0.6216307,1,Cible Potentielle,0.03498789,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C72486492,13,4G,A,Reseau direct,0,0,0.6216307,1,Cible Potentielle,0.039385904,0,Risque Moyen,NURTURING — pack Combo Voix+Data
C75946480,13,4G,A,Reseau direct,0,1,0.6216307,1,Cible Potentielle,0.052146323,0,Risque Eleve,RETENTION URGENTE — appel proactif immédiat
