ID,ANC_M,HANDSET,STATUT,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,NB_RECH_TOT,MNT_MOY,R_SCORE,F_SCORE,M_SCORE,RFM_SCORE,RFM_SCORE_STR,SEGMENT_RFM,TARGET_DATA
C44951553,151,2G,A,Standard,0.0,11.0,93.0,25.0,8.454545454545455,5,2,2,9,522,Nouveaux Clients,1
C52791553,148,2G,A,Standard,0.0,3.0,40.0,8.0,13.333333333333334,5,1,1,7,511,Nouveaux Clients,1
C31091554,134,2G,A,Bonus 300%,0.0,12.0,69.0,53.0,5.75,5,3,2,10,532,Clients Ordinaires,0
C51641554,150,4G,A,Bonus,0.0,12.0,675.0,168.0,56.25,5,3,5,13,535,Clients Fidèles,0
C4534_155,197,2G,A,Bonus,2.0,6.0,20.0,8.0,3.3333333333333335,1,1,1,3,111,Clients Perdus,1
C61001559,157,4G,A,Bonus 1000%,0.0,12.0,242.0,186.0,20.166666666666668,5,3,4,12,534,Clients Fidèles,0
C20881560,157,5G,A,Bonus,0.0,12.0,237.1,46.0,19.758333333333333,5,3,4,12,534,Clients Fidèles,1
C28751560,147,4G,A,Autre,0.0,12.0,324.0,68.0,27.0,5,3,4,12,534,Clients Fidèles,1
C2607_156,200,4G,A,Bonus 900%,0.0,12.0,220.0,48.0,18.333333333333332,5,3,3,11,533,Clients Fidèles,1
C2786_156,197,4G,A,Bonus 900%,0.0,12.0,199.0,195.0,16.583333333333332,5,3,3,11,533,Clients Fidèles,1
C92811565,156,5G,A,Bonus,0.0,11.0,213.0,41.0,19.363636363636363,5,2,3,10,523,Nouveaux Clients,1
