ID,ANC_M,HANDSET,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,RFM_SCORE,SEGMENT_RFM,CHURN,SCORE_CHURN,RISQUE_CHURN,ACTION_RETENTION
C65193054,92,2G,Standard,0.0,6.0,35.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C96593055,96,4G,Bonus 1000%,0.0,12.0,593.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C11063056,89,4G,Bonus,0.0,12.0,199.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71753056,110,4G,Bonus,0.0,12.0,453.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C82503056,110,4G,Standard,0.0,12.0,202.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C92123056,110,nan,Bonus,0.0,12.0,100.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C01473057,110,2G,Standard,0.0,12.0,51.0,9,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C40523057,106,2G,Standard,0.0,12.0,174.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C62133057,102,4G,Standard,0.0,12.0,353.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C18553058,105,5G,Bonus 1000%,0.0,12.0,191.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C8430_305,214,2G,Bonus 1500%,0.0,12.0,186.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C17563059,103,4G,Standard,0.0,12.0,230.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C9231_305,207,4G,Bonus 900%,0.0,12.0,305.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C04083060,105,2G,Standard,0.0,12.0,202.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C29593060,97,4G,Bonus,0.0,12.0,115.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C30583060,104,4G,Standard,0.0,12.0,135.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C54733060,103,4G,Standard,0.0,12.0,100.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C60463060,106,5G,Bonus 1000%,0.0,12.0,521.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C99133060,101,4G,Standard,0.0,12.0,159.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C03073061,104,2G,Standard,0.0,12.0,129.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C26143061,102,2G,Bonus,0.0,12.0,158.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C1464_306,237,4G,Bonus 900%,0.0,6.0,17.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C57973061,105,4G,Standard,0.0,12.0,363.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C24343062,103,4G,Bonus 1000%,0.0,12.0,245.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C3055_306,257,4G,Bonus 1500%,0.0,12.0,161.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C29973063,95,4G,Standard,0.0,12.0,177.84,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C40473063,105,4G,Standard,0.0,12.0,180.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C14523064,96,4G,Standard,0.0,10.0,120.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C15063064,104,4G,Standard,0.0,12.0,539.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C47493064,107,4G,Standard,0.0,11.0,191.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C4828_306,209,2G,Standard,0.0,12.0,110.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C4974_306,218,4G,Standard,0.0,12.0,210.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C40913065,95,4G,Standard,0.0,12.0,595.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C83793065,106,4G,Standard,0.0,12.0,150.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C06713066,105,4G,Standard,0.0,12.0,203.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C7113_306,207,2G,Bonus 1000%,0.0,12.0,283.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C29123067,103,2G,Standard,0.0,12.0,187.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C64983067,110,4G,Standard,0.0,6.0,71.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C10053068,110,5G,Bonus 1000%,0.0,12.0,223.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C29283068,110,2G,Standard,0.0,12.0,384.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C43983068,110,4G,Standard,0.0,12.0,106.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C08773069,109,4G,Bonus 900%,0.0,12.0,407.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C58673069,109,4G,Standard,0.0,12.0,522.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C9681_306,257,2G,Standard,0.0,12.0,289.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C95413069,103,4G,Bonus 1000%,0.0,12.0,786.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C0160_307,257,2G,Bonus,0.0,12.0,105.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C41583070,106,4G,Bonus 1000%,0.0,12.0,526.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C51103070,96,4G,Standard,0.0,12.0,159.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C63813070,105,4G,Bonus,0.0,12.0,403.28,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C66273070,105,4G,Standard,0.0,12.0,56.0,9,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C1192_307,257,2G,Standard,0.0,7.0,167.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C53763071,106,2G,Bonus 1000%,0.0,10.0,112.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C54433071,106,4G,Bonus 1000%,0.0,12.0,120.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C1619_307,258,4G,Bonus 1000%,0.0,12.0,147.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C73533071,105,4G,Bonus 1000%,0.0,11.0,53.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C05573072,105,4G,Standard,0.0,12.0,547.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C22013072,105,4G,Bonus,1.0,3.0,21.0,3,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C50513072,105,4G,Standard,0.0,12.0,203.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C05583073,95,4G,Bonus,0.0,12.0,104.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C23873073,96,4G,Standard,0.0,12.0,194.7,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C72873073,106,4G,Bonus 1000%,0.0,11.0,161.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C3795_307,257,4G,Bonus 900%,0.0,12.0,537.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C4308_307,230,4G,Bonus 1500%,0.0,12.0,430.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C59983074,102,4G,Standard,0.0,12.0,128.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71703074,97,2G,Standard,0.0,12.0,211.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C7475S_30,198,2G,Standard,0.0,12.0,263.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C4843_307,257,2G,Bonus 1500%,0.0,12.0,211.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C90493074,106,4G,Standard,0.0,6.0,32.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C04413075,106,4G,Bonus 1000%,0.0,8.0,45.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C24723075,98,4G,Standard,0.0,12.0,330.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C67503075,98,2G,Standard,0.0,11.0,159.98,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C98713075,105,4G,Standard,0.0,2.0,10.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C07783076,96,4G,Standard,0.0,12.0,181.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C44033076,104,4G,Bonus 1000%,0.0,12.0,640.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C57913076,98,4G,Standard,0.0,10.0,88.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C90363076,105,4G,Bonus,0.0,8.0,170.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C28173077,101,2G,Standard,0.0,12.0,532.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C49783077,106,4G,Standard,0.0,12.0,735.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C51243077,99,4G,Standard,0.0,10.0,86.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C36153078,105,4G,Standard,0.0,12.0,521.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C8545_307,257,4G,Bonus 900%,0.0,12.0,138.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C57943078,97,nan,Standard,0.0,12.0,786.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C59783078,101,4G,Standard,0.0,12.0,196.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C99603078,104,4G,Standard,0.0,12.0,60.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C40693079,96,4G,Bonus,0.0,12.0,123.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C62553079,99,4G,Standard,0.0,12.0,125.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C24913080,109,4G,Standard,0.0,10.0,210.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C28203080,109,4G,Standard,0.0,12.0,113.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C86863080,109,4G,Bonus 1000%,0.0,12.0,330.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C20093081,109,5G,Standard,1.0,7.0,60.0,4,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C20753081,109,5G,Bonus 1500%,0.0,12.0,410.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C42673081,109,2G,Bonus 1000%,0.0,9.0,105.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C69733081,109,4G,Bonus 1000%,0.0,12.0,597.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C75733081,109,4G,Bonus 1000%,0.0,12.0,230.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C86083081,109,4G,Standard,1.0,4.0,20.0,3,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C2205_308,257,2G,Standard,1.0,4.0,6.0,3,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C28993082,108,4G,Standard,0.0,12.0,472.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C40453082,109,4G,Standard,0.0,12.0,325.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71293082,109,4G,Bonus,0.0,8.0,51.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C53603083,108,4G,Bonus 1000%,0.0,12.0,529.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C77883083,106,4G,Standard,0.0,10.0,106.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C3879_308,235,4G,Bonus 1500%,0.0,12.0,361.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C69723084,102,4G,Bonus,0.0,10.0,80.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C80433084,94,4G,Standard,0.0,12.0,603.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C81843084,104,5G,Standard,0.0,10.0,175.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C84143084,107,4G,Standard,0.0,12.0,771.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C25943085,107,4G,Bonus 1000%,0.0,11.0,173.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C32143085,106,2G,Standard,0.0,10.0,264.0,11,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C94963085,107,5G,Bonus 1000%,0.0,12.0,515.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C41643086,99,4G,Standard,0.0,12.0,134.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C77033086,104,4G,Standard,0.0,12.0,305.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C84403086,104,4G,Standard,0.0,12.0,129.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C94383086,100,4G,Standard,0.0,12.0,174.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C74283087,107,4G,Bonus 1000%,0.0,12.0,255.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C97203087,99,4G,Standard,0.0,12.0,220.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C00793088,104,4G,Standard,0.0,9.0,52.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C38423088,96,4G,Standard,0.0,12.0,528.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C78763088,102,4G,Bonus,1.0,4.0,21.0,3,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C84393088,103,3G,Bonus,0.0,7.0,41.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C9752_308,257,4G,Bonus 900%,0.0,12.0,419.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C85243089,107,4G,Bonus,0.0,12.0,363.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C15743090,107,4G,Bonus 1000%,0.0,11.0,61.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C32123090,106,4G,Bonus 1000%,0.0,12.0,233.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C69153090,105,4G,Bonus,0.0,11.0,95.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71263090,95,4G,Standard,0.0,12.0,209.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C88223090,103,4G,Standard,0.0,12.0,217.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C92413090,96,4G,Standard,0.0,5.0,33.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C12463091,106,3G,Bonus,0.0,10.0,41.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C24393091,105,2G,Standard,0.0,12.0,446.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C33283091,105,4G,Standard,0.0,12.0,224.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C48903091,106,4G,Standard,0.0,12.0,64.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71393091,107,2G,Standard,0.0,12.0,586.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C30693092,107,4G,Bonus,0.0,10.0,206.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C65123092,107,2G,Standard,0.0,12.0,128.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C3142_309,257,2G,Standard,0.0,5.0,60.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C17913093,105,4G,Standard,0.0,12.0,218.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C18423093,105,4G,Standard,0.0,12.0,395.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C24053093,102,4G,Standard,0.0,10.0,52.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C70603093,107,4G,Bonus 1000%,0.0,12.0,357.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C90513093,106,4G,Standard,0.0,12.0,529.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C84543094,97,3G,Bonus,0.0,12.0,94.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C99013094,99,3G,Standard,0.0,12.0,241.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C19553095,105,4G,Standard,0.0,12.0,292.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C27503095,102,4G,Standard,0.0,12.0,503.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C46953095,96,2G,Bonus,0.0,12.0,257.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C70123095,105,4G,Standard,0.0,12.0,60.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C82583095,100,4G,Bonus 1000%,0.0,12.0,374.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C47023096,103,5G,Standard,0.0,12.0,94.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C77463096,106,4G,Standard,0.0,11.0,254.0,11,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C6859_309,257,4G,Bonus 1000%,0.0,12.0,267.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C98243096,104,4G,Standard,0.0,12.0,190.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C01493097,107,4G,Bonus 1000%,1.0,9.0,58.0,5,Clients Perdus,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C04553097,101,4G,Standard,0.0,11.0,100.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C7307_309,235,2G,Standard,0.0,11.0,95.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C46873097,102,2G,Standard,0.0,12.0,298.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C75803097,106,2G,Standard,0.0,12.0,221.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C86123097,105,4G,Standard,0.0,12.0,505.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C11663098,103,4G,Standard,0.0,12.0,105.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C23613098,106,4G,Standard,0.0,12.0,571.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C72983098,106,4G,Bonus 1000%,0.0,12.0,214.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C02263099,99,2G,Standard,0.0,12.0,100.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C10283099,100,4G,Standard,0.0,12.0,246.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C26303099,105,4G,Standard,0.0,12.0,554.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C42803099,106,4G,Standard,0.0,12.0,368.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C69503099,93,4G,Standard,0.0,12.0,361.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C99173099,106,4G,Standard,0.0,7.0,409.0,11,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C66073100,108,4G,Bonus 1000%,0.0,12.0,786.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C91023100,108,4G,Bonus 1000%,0.0,9.0,168.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C13653101,108,2G,Standard,0.0,12.0,190.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C19133101,108,5G,Standard,0.0,10.0,145.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71273101,102,4G,Standard,0.0,10.0,103.0,9,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C85343101,103,5G,Bonus 1000%,0.0,12.0,843.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C90343101,101,2G,Standard,0.0,12.0,155.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C92303101,100,4G,Standard,0.0,12.0,483.18,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C16243102,90,5G,Standard,0.0,7.0,45.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C22193102,101,nan,Standard,0.0,12.0,83.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C3147_310,210,4G,Bonus 2000%,0.0,12.0,378.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C18933103,105,4G,Bonus 1000%,0.0,7.0,26.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C29633103,105,4G,Bonus,0.0,11.0,156.0,10,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C37323103,104,4G,Bonus 1000%,0.0,12.0,824.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C72323103,94,3G,Standard,0.0,12.0,100.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C74343103,103,5G,Bonus 1000%,0.0,12.0,142.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C80623103,103,2G,Standard,0.0,12.0,325.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C80973103,98,2G,Standard,0.0,12.0,270.8,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C01673104,104,5G,Standard,0.0,7.0,106.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C33193104,101,4G,Standard,0.0,12.0,217.0,11,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C4388_310,234,4G,Bonus,0.0,5.0,22.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C18963105,98,4G,Standard,0.0,12.0,443.0,13,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C6311_310,253,4G,Bonus,0.0,12.0,105.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C43323106,95,4G,Standard,0.0,12.0,77.0,10,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C71723107,104,4G,Standard,0.0,12.0,245.84,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C79643107,104,4G,Bonus,0.0,10.0,700.0,12,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C8423_310,208,5G,Standard,0.0,8.0,820.0,12,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C54913108,103,4G,Standard,0.0,10.0,534.0,12,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C9158_310,208,4G,Standard,0.0,12.0,332.14,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C9190_310,236,4G,Standard,0.0,10.0,14.0,8,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C57173109,102,5G,Standard,0.0,12.0,242.0,12,Clients Fidèles,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C62853109,97,4G,Standard,0.0,12.0,42.0,9,Clients Ordinaires,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
C02053110,102,4G,Standard,0.0,5.0,34.0,7,Nouveaux Clients,0,0.475253,🟡 Moyen,Campagne email retention + bonus recharge
