ID,ANC_M,HANDSET,OFFRE_CAT,RECENCY,FREQUENCY,MONETARY,RFM_SCORE,SEGMENT_RFM,CHURN,SCORE_CHURN,RISQUE_CHURN,ACTION_RETENTION
C66244538,69,4G,Standard,7.0,2.0,7.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C12665596,38,4G,Standard,4.0,1.0,1.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C06446362,18,4G,Bonus,3.0,3.0,22.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C72896367,18,4G,Standard,3.0,2.0,30.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C80346367,18,4G,Bonus,3.0,4.0,25.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C60996368,18,4G,Bonus,3.0,8.0,98.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65046375,17,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C70036375,17,4G,Bonus,4.0,5.0,23.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65665280,46,4G,Bonus,4.0,2.0,31.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C96216375,17,4G,Bonus,3.0,5.0,40.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C89366378,17,4G,Ad-On,3.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C07956385,17,4G,Bonus,3.0,3.0,8.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C32264074,84,4G,Standard,5.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C24685372,43,4G,Bonus,4.0,3.0,25.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C46306385,17,4G,Ad-On,3.0,7.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C71971669,152,4G,Standard,3.0,6.0,51.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C30305383,43,4G,Standard,3.0,7.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C65014770,61,4G,Bonus 300%,7.0,5.0,9.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C88603247,98,4G,Standard,4.0,4.0,25.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C64606386,17,4G,Bonus,5.0,2.0,12.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C55126387,17,4G,Bonus,3.0,3.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C20296388,17,4G,Bonus,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C62306392,17,4G,Ad-On,9.0,2.0,12.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C60134076,79,4G,Bonus,4.0,3.0,57.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C25114388,53,4G,Standard,3.0,5.0,22.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C11296394,17,4G,Standard,3.0,8.0,23.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C70985010,53,5G,Standard,3.0,5.0,80.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C74916394,17,4G,Ad-On,3.0,5.0,18.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C64736395,17,4G,Bonus,3.0,3.0,8.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C32116401,16,4G,Bonus,3.0,3.0,55.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C42836401,16,5G,Bonus,3.0,5.0,23.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C17815220,48,4G,Bonus,4.0,4.0,18.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C64114389,67,5G,Standard,4.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C3576_640,298,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C40616409,16,4G,Bonus,5.0,5.0,85.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C06041869,141,4G,Standard,3.0,3.0,11.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C76236413,16,4G,Standard,9.0,2.0,6.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C26676414,16,4G,Bonus,3.0,3.0,12.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C06043639,89,4G,Standard,4.0,6.0,53.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C36176414,16,4G,Bonus,3.0,3.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C82775023,53,4G,Bonus,3.0,8.0,44.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C27746415,16,4G,Bonus,8.0,1.0,6.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C11775616,37,4G,Standard,4.0,5.0,13.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C58255923,30,4G,Bonus,7.0,5.0,74.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C93226415,16,5G,Standard,4.0,4.0,85.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C95096415,16,4G,Bonus,3.0,2.0,23.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C01103321,100,4G,Bonus,3.0,5.0,16.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C70784154,73,4G,Standard,4.0,4.0,47.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C11685110,51,5G,Standard,6.0,2.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C69325923,30,5G,Standard,6.0,2.0,6.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C41436418,16,4G,Bonus,3.0,8.0,76.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C8603_641,267,2G,Bonus 900%,3.0,6.0,15.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C62236421,16,4G,Standard,6.0,4.0,55.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C71406422,16,4G,Standard,12.0,0.0,0.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C90664155,77,4G,Standard,3.0,7.0,31.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C28565620,37,4G,Bonus,3.0,4.0,8.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C33895446,41,5G,Bonus,9.0,1.0,20.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C27756085,26,4G,Bonus,3.0,7.0,83.0,4,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C21976429,15,4G,Bonus,3.0,2.0,10.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C19366431,15,4G,Bonus,4.0,6.0,39.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C95176435,15,4G,Bonus,5.0,2.0,5.140000000000001,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C47576436,15,4G,Bonus,9.0,2.0,5.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C71404829,59,4G,Standard,3.0,7.0,161.0,5,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
C78306438,15,4G,Bonus,3.0,7.0,36.0,3,Clients Perdus,1,0.52507085,🟡 Moyen,Campagne email retention + bonus recharge
